"filename", "language", "Lua", "Markdown", "JSON", "YAML", "XML", "pip requirements", "Shell Script", "Rust", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\TestEZ.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\CHANGELOG.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\README.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\example.project.json", "JSON", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\Loop.lua", "Lua", 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 112, 501
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\Loop.spec.lua", "Lua", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 283
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\Queue.lua", "Lua", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\World.lua", "Lua", 681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 227, 954
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\World.spec.lua", "Lua", 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 111, 546
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\archetype.lua", "Lua", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 87
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\archetype.spec.lua", "Lua", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\component.lua", "Lua", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34, 150
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\component.spec.lua", "Lua", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 89
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\EventBridge.lua", "Lua", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48, 208
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\clientBindings.lua", "Lua", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\debugger.lua", "Lua", 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 100, 478
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\formatTable.lua", "Lua", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 110
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\hookWidgets.lua", "Lua", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 93
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\hookWorld.lua", "Lua", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\mouseHighlight.lua", "Lua", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 66
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\ui.lua", "Lua", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 280
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\codeText.lua", "Lua", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\container.lua", "Lua", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\entityInspect.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\errorInspect.lua", "Lua", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\frame.lua", "Lua", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\hoverInspect.lua", "Lua", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\link.lua", "Lua", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 104
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\panel.lua", "Lua", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 70
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\queryInspect.lua", "Lua", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 63
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\realmSwitch.lua", "Lua", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 93
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\selectionList.lua", "Lua", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 140
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\tooltip.lua", "Lua", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\valueInspect.lua", "Lua", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\debugger\widgets\worldInspect.lua", "Lua", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 164
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks\log.lua", "Lua", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 44
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks\useDeltaTime.lua", "Lua", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks\useEvent.lua", "Lua", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44, 198
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks\useEvent.spec.lua", "Lua", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41, 163
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\hooks\useThrottle.lua", "Lua", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 52
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\immutable.lua", "Lua", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 48
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\init.lua", "Lua", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 82
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\mock\BindableEvent.lua", "Lua", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\rollingAverage.lua", "Lua", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\topoRuntime.lua", "Lua", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45, 175
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\lib\topoRuntime.spec.lua", "Lua", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 116
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\test.project.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_matter@0.6.2\matter\tests.server.lua", "Lua", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\CHANGELOG.md", "Markdown", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 157
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\evaera_promise@4.0.0\promise\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
